PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Foolen, A				Foolen, Ad			Quo vadis pragmatics? From adaptation to participatory sense-making	JOURNAL OF PRAGMATICS			English	Article						Cognitive linguistics; Cognitive science; Fragmentation; Participatory sense-making; Recontextualization	LINGUISTICS; LANGUAGE	Before looking forward, the past and present of pragmatics is reflected upon. Two developments are signaled as potentially problematic for the identity of the field. On the one hand, there is inner fragmentation in the field of pragmatics. On the other hand there are developments in neighboring fields like cognitive linguistics and cognitive science, which seek to recontextualize to the social-pragmatic dimension, this way coming closer to pragmatics. The two developments lead to the question what the core profile of pragmatics should be in order to play its own distinctive role in future research on human sense-making. (C) 2019 Elsevier B.V. All rights reserved.	[Foolen, Ad] Radboud Univ Nijmegen, Dept Language & Commun, Nijmegen, Netherlands	Radboud University Nijmegen	Foolen, A (corresponding author), Radboud Univ Nijmegen, Dept Language & Commun, Nijmegen, Netherlands.	a.foolen@let.ru.nl							79	6	6	0	17	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0378-2166	1879-1387		J PRAGMATICS	J. Pragmat.	MAY	2019	145				SI		39	46		10.1016/j.pragma.2019.03.008	http://dx.doi.org/10.1016/j.pragma.2019.03.008			8	Linguistics; Language & Linguistics	Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI)	Linguistics	IC4NA					2024-03-22	WOS:000470941400006
J	de Graaf, A				de Graaf, Anneke			The role of identification and self-referencing in narrative persuasion	COMMUNICATIONS-EUROPEAN JOURNAL OF COMMUNICATION RESEARCH			English	Article						narrative persuasion; identification; self-referencing	TRANSPORTATION; PROTAGONIST; SIMILARITY; RESPONSES; BELIEFS; EMPATHY	Previous studies have shown that identification and self-referencing can both function as mechanisms of narrative persuasion. However, it is not yet clear whether they are compatible and can work together in bringing about persuasive effects of narratives, or not. Therefore, this study examines both identification and self-referencing and studies their relation and effects. A 2x2 between-subjects experiment was conducted among 185 student participants, with the factors 'perspective' (1st vs. 3rd person) to influence identification and 'similarity' (young student protagonist vs. older working protagonist) to influence self-referencing. Results showed that identification mediated indirect effects of perspective on story-consistent belief and self-referencing mediated indirect effects of similarity on story-consistent belief. Moreover, identification and self-referencing serially mediated indirect effects on story-consistent belief. These results indicate that identification and self-referencing are compatible processes which can work together as mechanisms of narrative persuasion.	[de Graaf, Anneke] Radboud Univ Nijmegen, Dept Language & Commun, Nijmegen, Netherlands	Radboud University Nijmegen	de Graaf, A (corresponding author), Radboud Univ Nijmegen, Dept Language & Commun, Nijmegen, Netherlands.	anneke.degraaf@ru.nl		de Graaf, Anneke/0000-0003-2906-7498					40	4	4	11	43	DE GRUYTER MOUTON	BERLIN	GENTHINER STRASSE 13, 10785 BERLIN, GERMANY	0341-2059	1613-4087		COMMUNICATIONS-GER	Communications	MAY 26	2023	48	2					163	179		10.1515/commun-2021-0029	http://dx.doi.org/10.1515/commun-2021-0029		APR 2022	17	Communication	Social Science Citation Index (SSCI)	Communication	H3IN6		Green Published, hybrid			2024-03-22	WOS:000787921500001
J	Nejjari, W; Gerritsen, M; van Hout, R; Planken, B				Nejjari, Warda; Gerritsen, Marinel; van Hout, Roeland; Planken, Brigitte			Where does a 'foreign' accent matter? <i>German</i>, <i>Spanish and Singaporean</i> <i>listeners</i>' <i>reactions to Dutch</i>-<i>accented English</i>, <i>and standard British and American English accents</i>	PLOS ONE			English	Article							STUDENTS ATTITUDES; LANGUAGE ATTITUDES; WORLD ENGLISHES; LINGUA-FRANCA; INTELLIGIBILITY; SPEECH; COMPREHENSIBILITY; COMMUNICATION; PERSPECTIVE; LECTURERS	How well L2 English is understood and how L2 English speakers perceive one another within varying communication contexts has been studied relatively rarely, even though most speakers of English in the world are L2 speakers. In this matched-guise experiment (N = 1699) the effects of L1 and L2 English accents and communication context were tested on speech understandability (intelligibility, comprehensibility, interpretability) and speaker evaluations (status, affect, dynamism). German (N = 617), Spanish (N = 540), and Singaporean listeners (N = 542) were asked to evaluate three accents (Dutch-accented English, standard British English, standard American English) in three communication contexts (Lecture, Audio Tour, Job Pitch). The main finding is that the Dutch-accented English accent was understood as well as the two L1 English accents. Furthermore, Dutch-accented English evoked equally positive evaluations to the two L1 English accents in German listeners, and more positive evaluations than the two L1 English accents in Spanish and Singaporean listeners. These results suggest that accent training aimed at achieving an L1 English accent may not always be necessary for (Dutch) English language learners, especially when they are expected to mostly interact with other L2 speakers of English. More generally, our results indicate that L2 English speakers' understanding and their evaluation of L1 and L2 Englishes would not seem to reflect traditional language norms. Instead, they seem to reflect the socio-cultural embedding of a language norm in a Lingua Franca English speech community that does not view accent varieties as a hindrance to successful communication.	[Nejjari, Warda; Gerritsen, Marinel; van Hout, Roeland; Planken, Brigitte] Radboud Univ Nijmegen, Dept Language & Commun, Nijmegen, Netherlands	Radboud University Nijmegen	Nejjari, W (corresponding author), Radboud Univ Nijmegen, Dept Language & Commun, Nijmegen, Netherlands.	w.nejjari@let.ru.nl		Planken, Brigitte/0000-0001-6834-107X					88	7	7	1	24	PUBLIC LIBRARY SCIENCE	SAN FRANCISCO	1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA	1932-6203			PLOS ONE	PLoS One	APR 29	2020	15	4							e0231089	10.1371/journal.pone.0231089	http://dx.doi.org/10.1371/journal.pone.0231089			35	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Science & Technology - Other Topics	LS8ZG	32348318	Green Published, gold			2024-03-22	WOS:000536668200013
B	Stommel, W; Lamerichs, J		Demjen, Z		STOMMEL, W. Y. K. E.; LAMERICHS, J. O. Y. C. E.			Empathy displays in Dutch chat counselling: Showcasing a microanalysis of online data	APPLYING LINGUISTICS IN ILLNESS AND HEALTHCARE CONTEXTS	Contemporary Studies in Linguistics		English	Article; Book Chapter							SUPPORT; FORMULATIONS; INDIVIDUALS; CLIENTS; ADVICE; REPAIR; PHONE; FACE		[STOMMEL, W. Y. K. E.] Radboud Univ Nijmegen, Language & Commun, Nijmegen, Netherlands; [LAMERICHS, J. O. Y. C. E.] Vrije Univ Amsterdam, Dept Language Literature & Commun, Amsterdam, Netherlands	Radboud University Nijmegen; Vrije Universiteit Amsterdam	Stommel, W (corresponding author), Radboud Univ Nijmegen, Language & Commun, Nijmegen, Netherlands.			Lamerichs, J.M.W.J./0000-0002-5948-0577					53	3	3	0	0	BLOOMSBURY ACADEMIC	NEW YORK	1385 BROADWAY, NEW YORK, NY 10018 USA			978-1-3500-5766-1; 978-1-3500-5765-4	CONT ST LING			2020							159	183						25	Primary Health Care; Public, Environmental & Occupational Health; Linguistics; Language & Linguistics	Book Citation Index – Social Sciences & Humanities (BKCI-SSH); Book Citation Index – Science (BKCI-S)	General & Internal Medicine; Public, Environmental & Occupational Health; Linguistics	BT3JU					2024-03-22	WOS:000820703300007
J	Faro, L				Faro, Laurie			Monuments for stillborn children and disenfranchised grief in the Netherlands Recognition, protest and solace	MORTALITY			English	Article						Stillbirth; disenfranchised grief; monument; continuing bonds; death ritual; space	MEMORY	In the Netherlands, until the years mid eighty of the previous century, in accordance with the so called 'breaking bonds' paradigm at the time, children who had died around birth, were immediately separated from the parents. There and above, Roman Catholic rules dictated that children who had not been baptized before they died, would be buried anonymously in hideaway, and in the unconsecrated grounds of the graveyard. This article discusses these parents and their stillborn children. Their loss and grief remained for a long time unacknowledged, resulting in feelings of disenfranchised grief. These feelings increased as a result of the shift of paradigm into continuing bonds with a deceased, developing into the nowadays empathic and intimate contact between parents and stillborn children. With the emergence as of the year 2000 of monuments to stillborn children (in the Netherlands around 160 in total),monuments have become a strategy to cope with feelings of disenfranchised grief. This article concludes that parents of stillborn children benefit from an honourable place to commemorate and pay respect to their long-time publicly neglected child.	[Faro, Laurie] Radboud Univ Nijmegen, Dept Language & Commun, Nijmegen, Netherlands	Radboud University Nijmegen	Faro, L (corresponding author), Houtlaan 4, NL-6525 XZ Nijmegen, Netherlands.	l.faro@let.ru.nl							46	3	3	0	2	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	1357-6275	1469-9885		MORTALITY-UK	Mortality	JUL 3	2021	26	3					264	283		10.1080/13576275.2020.1779202	http://dx.doi.org/10.1080/13576275.2020.1779202			20	Humanities, Multidisciplinary; Social Sciences, Interdisciplinary	Emerging Sources Citation Index (ESCI)	Arts & Humanities - Other Topics; Social Sciences - Other Topics	UJ4ZL		hybrid			2024-03-22	WOS:000691295000003
J	Oomen, J; Van den Ende, C; Das, H				Oomen, J.; Van den Ende, C.; Das, H.			BABS ON A MISSION: AN EXPERIMENTAL STUDY ON THE EFFECTS OF MESSAGE FRAMING AND THE USE OF A PATIENT TESTIMONIAL ON BELIEFS AND INTENTIONS OF OSTEOARTHRITIS PATIENTS	ANNALS OF THE RHEUMATIC DISEASES			English	Meeting Abstract	EULAR European Congress of Rheumatology (EULAR)	JUN 01-04, 2022	Copenhagen, DENMARK	European Alliance Assoc Rheumatol					[Oomen, J.] Sint Maartensklin, Dept Res & Innovat, Ubbergen, Netherlands; [Das, H.] Radboud Univ Nijmegen, Dept Language & Commun, Nijmegen, Netherlands	Sint Maartens Clinic; Radboud University Nijmegen									2	0	0	0	0	BMJ PUBLISHING GROUP	LONDON	BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON WC1H 9JR, ENGLAND	0003-4967	1468-2060		ANN RHEUM DIS	Ann. Rheum. Dis.	JUN	2022	81			1		POS1500-HP	1095	1096		10.1136/annrheumdis-2022-eular.2021	http://dx.doi.org/10.1136/annrheumdis-2022-eular.2021			2	Rheumatology	Science Citation Index Expanded (SCI-EXPANDED); Conference Proceedings Citation Index - Science (CPCI-S)	Rheumatology	4I0PD		Bronze			2024-03-22	WOS:000850279004220
J	Hornikx, J; Janssen, A; O'Keefe, DJ				Hornikx, Jos; Janssen, Anne; O'Keefe, Daniel J.			Cultural Value Adaptation in Advertising is Effective, But Not Dependable: A Meta-Analysis of 25?Years of Experimental Research	INTERNATIONAL JOURNAL OF BUSINESS COMMUNICATION			English	Article; Early Access						advertising; cultural adaptation; cultural dimensions; persuasion; globalization	PERSUASION; APPEALS; INDIVIDUALISM; CONSEQUENCES; PERCEPTIONS; PSYCHOLOGY; MESSAGES; IMPACT; TESTS	Advertisers sometimes use value appeals that are adapted to their specific cultural audience. After a meta-analysis in 2009 showing cultural value adaptation to be effective, new studies have been published and the advertising landscape has rapidly changed. The current meta-analysis involving about 120 comparisons of adapted versus unadapted value appeals on persuasion and ad liking presents three results. First, cultural value adaptation effects in advertising exist (persuasion: mean r = .049; ad liking: mean r = .055). Second, these adaptation effects have diminished over time (correlations between year of publication and persuasion effects: r = -.152; between year of publication and ad liking: r = -.185). Third, the adaptation effects do not allow for dependable advice for practitioners. We discuss these results in the context of globalization and the standardization-adaptation debate.	[Hornikx, Jos] Radboud Univ Nijmegen, Int Business Commun, Nijmegen, Netherlands; [Janssen, Anne] Radboud Univ Nijmegen, Language & Commun, Nijmegen, Netherlands; [O'Keefe, Daniel J.] Northwestern Univ, Dept Commun Studies, Evanston, IL USA; [Hornikx, Jos] Radboud Univ Nijmegen, Ctr Language Studies, Erasmuspl 1, NL-6525 HT Nijmegen, Netherlands	Radboud University Nijmegen; Radboud University Nijmegen; Northwestern University; Radboud University Nijmegen	Hornikx, J (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, Erasmuspl 1, NL-6525 HT Nijmegen, Netherlands.	jos.hornikx@ru.nl	Hornikx, Jos/I-5478-2012	Hornikx, Jos/0000-0002-5362-0997	The authors thank Chingching Chang, Xue Fei, Gary Gregory, Helen van Hartingsveldt, Hans Hoeken, Jae Min Jung, James Kellaris, Mathilde Kirk, Loraine Lau-Gesk, Suzy Lee, Sidharth Muralidharan, Michelle Nelson, Femke Noordhoek, Lulu Rodriguez, Wouter Sander	The authors thank Chingching Chang, Xue Fei, Gary Gregory, Helen van Hartingsveldt, Hans Hoeken, Jae Min Jung, James Kellaris, Mathilde Kirk, Loraine Lau-Gesk, Suzy Lee, Sidharth Muralidharan, Michelle Nelson, Femke Noordhoek, Lulu Rodriguez, Wouter Sander	The authors thank Chingching Chang, Xue Fei, Gary Gregory, Helen van Hartingsveldt, Hans Hoeken, Jae Min Jung, James Kellaris, Mathilde Kirk, Loraine Lau-Gesk, Suzy Lee, Sidharth Muralidharan, Michelle Nelson, Femke Noordhoek, Lulu Rodriguez, Wouter Sanderse, Sela Sar, Ralf Terlutter, Jing Zhang, and Yong Zhang for supplying primary-research information.		66	0	0	9	9	SAGE PUBLICATIONS INC	THOUSAND OAKS	2455 TELLER RD, THOUSAND OAKS, CA 91320 USA	2329-4884	2329-4892		INT J BUS COMMUN	Int. J. Bus. Commun.	2023 SEP 16	2023										10.1177/23294884231199088	http://dx.doi.org/10.1177/23294884231199088		SEP 2023	25	Business; Communication	Social Science Citation Index (SSCI)	Business & Economics; Communication	R7KT3		hybrid			2024-03-22	WOS:001066113300001
J	Nederstigt, U; Hilberink-Schulpen, B				Nederstigt, Ulrike; Hilberink-Schulpen, Beryl			Attention to multilingual job ads: an eye-tracking study on the use of English in German job ads	FOLIA LINGUISTICA			English	Article						attention; English loanwords; eye-tracking; job ads; multilingual ads	ADVERTISEMENTS; 2ND-LANGUAGE; RECOGNITION; MOVEMENTS; DUTCH	In many non-English-speaking countries, English loanwords in job ads seem to be very common. The question is whether this linguistic choice is advantageous, especially when the job advertised does not involve working in an international environment. Previous research of English loanwords in job ads has revealed that their effect in terms of the evaluation of the company, the job and the ad is limited if effects can be shown at all. Suggestions that English loanwords draw readers' attention because this language choice deviates from what readers expect and, in addition, take more processing time (because they are foreign) lack empirical evidence. The eye-tracking and behavioural data of our experiment did not provide any empirical evidence for the attention-drawing function of English loanwords nor an influence on their effectiveness in job ads geared to graduate students in Germany. We suggest that loanwords need a certain amount of processing to be identified as foreign. This means they are different from other salient cues that were shown to draw readers' attention because they are not subject to automatic processes. In addition, our participants were sufficiently proficient in English so that differences in processing time were not reflected in their eye-movement data.	[Nederstigt, Ulrike] Radboud Univ Nijmegen, Ctr Language Studies, Dept Language & Commun, Postbus 9103, NL-6500 HD Nijmegen, Netherlands; [Hilberink-Schulpen, Beryl] Radboud Univ Nijmegen, Ctr Language Studies, Dept Language & Commun, Nijmegen, Netherlands	Radboud University Nijmegen; Radboud University Nijmegen	Nederstigt, U (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, Dept Language & Commun, Postbus 9103, NL-6500 HD Nijmegen, Netherlands.	ulrike.nederstigt@ru.nl; beryl.hilberink@ru.nl		Hilberink-Schulpen, Beryl/0000-0002-7355-4712					77	0	0	0	2	WALTER DE GRUYTER GMBH	BERLIN	GENTHINER STRASSE 13, D-10785 BERLIN, GERMANY	0165-4004	1614-7308		FOLIA LINGUIST	Folia Linguist.	NOV 27	2023	57	2					313	343		10.1515/flin-2023-2015	http://dx.doi.org/10.1515/flin-2023-2015		MAY 2023	31	Linguistics; Language & Linguistics	Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI)	Linguistics	N6GJ8		hybrid, Green Published			2024-03-22	WOS:000985355500001
J	de Graaf, A; Das, E				de Graaf, Anneke; Das, Enny			Portrayals of threatened needs and human virtue: a review of the content of eudaimonic entertainment	ANNALS OF THE INTERNATIONAL COMMUNICATION ASSOCIATION			English	Review						Eudaimonic entertainment; narrative content; fundamental needs; human virtue	MEDIA-INDUCED RECOVERY; MEANINGFUL ENTERTAINMENT; MEASUREMENT INVARIANCE; POLITICAL INTEREST; AFFECTIVE STATES; AGE-DIFFERENCES; EXPERIENCES; APPRECIATION; ENJOYMENT; ELEVATION	The present review examines whether commonalities and differences can be detected in the content of eudaimonic entertainment. We focused on two features: the fundamental human needs that were threatened, and the specific virtues that were portrayed. The results showed that the examined materials often included a combination of portrayals of threats to the fundamental human needs for safety, health and relatedness, and portrayals of the virtue of humanity, like love and kindness. Two subcategories could be distinguished in the materials, one in which the focus is on the portrayal of virtue as an answer to threatened needs, and one in which the focus is on the portrayal of threatened needs in which characters struggle even though they also have virtue.	[de Graaf, Anneke; Das, Enny] Radboud Univ Nijmegen, Ctr Language Studies CLS, Dept Language & Commun, Nijmegen, Netherlands; [de Graaf, Anneke] Radboud Univ Nijmegen, Ctr Language Studies, Dept Language & Commun, Erasmuspl 1, NL-6525 HT Nijmegen, Netherlands	Radboud University Nijmegen; Radboud University Nijmegen	de Graaf, A (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, Dept Language & Commun, Erasmuspl 1, NL-6525 HT Nijmegen, Netherlands.	anneke.degraaf@ru.nl		Das, Enny/0000-0002-0367-6757	Dutch Research Council (Nederlandse organisatie voor Wetenschappelijk Onderzoek (NWO)) [406.18.SW.039]	Dutch Research Council (Nederlandse organisatie voor Wetenschappelijk Onderzoek (NWO))(Netherlands Organization for Scientific Research (NWO))	This work was funded by the Dutch Research Council (Nederlandse organisatie voor Wetenschappelijk Onderzoek (NWO) Project no.: 406.18.SW.039).		113	0	0	0	0	TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND	2380-8985	2380-8977		ANN INT COMMUN ASSOC	Ann. Int. Commun. Assoc.	JAN 2	2023	47	1					55	83		10.1080/23808985.2022.2130811	http://dx.doi.org/10.1080/23808985.2022.2130811			29	Communication	Emerging Sources Citation Index (ESCI)	Communication	JF4Q7		hybrid, Green Published			2024-03-22	WOS:001171742600004
J	Ferreira, F; Huettig, F				Ferreira, Fernanda; Huettig, Falk			Fast and slow language processing: A window into dual-process models of cognition	BEHAVIORAL AND BRAIN SCIENCES			English	Editorial Material							COMPLEXITY	Our understanding of dual-process models of cognition may benefit from a consideration of language processing, as language comprehension involves fast and slow processes analogous to those used for reasoning. More specifically, De Neys's criticisms of the exclusivity assumption and the fast-to-slow switch mechanism are consistent with findings from the literature on the construction and revision of linguistic interpretations.	[Ferreira, Fernanda] Univ Calif Davis, Dept Psychol, Davis, CA 95616 USA; [Huettig, Falk] Radboud Univ Nijmegen, Max Planck Inst Psycholinguist, Dept Language & Commun, Nijmegen, Netherlands	University of California System; University of California Davis; Radboud University Nijmegen; Max Planck Society	Ferreira, F (corresponding author), Univ Calif Davis, Dept Psychol, Davis, CA 95616 USA.	fferreira@ucdavis.edu; falk.huettig@mpi.nl	Huettig, Falk/D-1991-2010	Ferreira, Fernanda/0000-0002-9349-9300; Huettig, Falk/0000-0001-9135-4178	National Institutes of Health/NICHD [1R01HD100516]	National Institutes of Health/NICHD(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD))	Preparation of this work was supported by the National Institutes of Health/NICHD under grant number 1R01HD100516 awarded to Fernanda Ferreira.		5	0	0	2	2	CAMBRIDGE UNIV PRESS	NEW YORK	32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA	0140-525X	1469-1825		BEHAV BRAIN SCI	Behav. Brain Sci.	JUL 18	2023	46								e121	10.1017/S0140525X22003041	http://dx.doi.org/10.1017/S0140525X22003041			2	Psychology, Biological; Behavioral Sciences; Neurosciences	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Psychology; Behavioral Sciences; Neurosciences & Neurology	M6VJ5	37462166				2024-03-22	WOS:001031570700011
